businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
,成都玛尔斯科技有限公司,420697,成都玛尔斯科技有限公司,15-50人,2019-09-20 14:11:39,武侯区,本科,未融资,"移动互联网,社交",Python开发工程师,14k-18k
['猛追湾'],新疆格瑞迪斯石油技术股份有限公司成都分公司,82892751,格瑞迪斯,150-500人,2019-09-19 18:09:34,锦江区,不限,B轮,"人工智能,软件开发",python后端,6k-12k
,成都晓多科技有限公司,85491,成都晓多科技有限公司,500-2000人,2019-09-20 16:42:23,高新区,本科,B轮,"企业服务,数据服务",python开发工程师,15k-30k
['华阳'],成都聚思力信息技术有限公司,204171,成都聚思力信息技术有限公司,500-2000人,2019-09-20 16:59:13,高新区,本科,上市公司,"移动互联网,电商",python开发工程师,10k-20k
,成都益嘉互动网络科技有限公司,568158,成都益嘉互动网络科技有限公司,15-50人,2019-09-19 10:22:33,高新区,大专,未融资,"移动互联网,游戏",python开发工程师,10k-15k
"['神仙树', '桐梓林', '紫荆']",中通服创立信息科技有限责任公司,43372,创立科技,500-2000人,2019-09-19 14:11:49,武侯区,大专,上市公司,"移动互联网,硬件",python开发工程师,9k-13k
,深圳市杉岩数据技术有限公司,71639,杉岩数据,50-150人,2019-09-20 12:14:25,武侯区,本科,B轮,"企业服务,数据服务",pyhton开发,13k-18k
,成都数之联科技有限公司,58647,成都数之联科技有限公司,150-500人,2019-09-10 11:49:46,高新区,本科,B轮,"移动互联网,数据服务",Python开发工程师,12k-18k
['石羊'],成都欧督系统科技有限公司,125511,欧督（成都）,50-150人,2019-09-19 16:48:13,高新区,本科,天使轮,"企业服务,电商",python开发,12k-24k
,成都无糖信息技术有限公司,249048,无糖信息,50-150人,2019-09-18 16:35:48,高新区,不限,A轮,"信息安全,数据服务",Python开发工程师,7k-12k
,微慕客（成都）科技有限公司,749413,微慕客（成都）科技有限公司,50-150人,2019-09-20 18:04:44,双流县,本科,不需要融资,数据服务,python开发工程师,8k-12k
"['公平', '涌泉']",成都成电医星数字健康软件有限公司,137417,成电医星,150-500人,2019-09-18 14:44:22,温江区,本科,上市公司,医疗丨健康,python开发,7k-9k
,成都宽邦科技有限公司,182860,宽邦（BigQuant）,50-150人,2019-09-18 10:50:19,高新区,本科,不需要融资,"金融,数据服务",Python开发工程师,8k-15k
,北京棕榈创想科技有限公司,106289,PALMAX,150-500人,2019-09-20 18:45:57,高新区,本科,A轮,移动互联网,python开发工程师,10k-20k
