businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
,南京云信达科技有限公司,516238,云信达,50-150人,2019-09-20 09:14:09,浦口区,本科,A轮,"移动互联网,数据服务",python开发,10k-18k
['奥体'],湖南潭州教育网络科技有限公司南京分公司,82761764,潭州教育,2000人以上,2019-09-19 19:51:18,建邺区,本科,B轮,教育,python,8k-15k
['奥体'],杭州数澜科技有限公司,142528,数澜科技,150-500人,2019-09-20 18:57:33,建邺区,本科,A轮,"企业服务,数据服务",python开发工程师,18k-35k
"['光华路', '孝陵卫', '紫金山']",南京网感至察信息科技有限公司,42406,网感至察,15-50人,2019-09-20 11:29:16,秦淮区,本科,天使轮,数据服务,python开发工程师,10k-20k
['宁南'],南京云帐房网络科技有限公司北京分公司,140172,云帐房,150-500人,2019-09-09 18:28:20,雨花台区,本科,C轮,移动互联网,python工程师,12k-18k
['百家湖'],北京中电广通技术服务有限公司,445000,中电广通,50-150人,2019-08-30 10:31:36,江宁区,本科,未融资,移动互联网,Python开发工程师,10k-20k
,江苏激扬软件有限公司,337317,江苏激扬,150-500人,2019-09-10 16:48:47,雨花台区,本科,不需要融资,其他,python,6k-10k
"['上海路', '南大', '广州路']",华扬联众数字技术股份有限公司西安分公司,57628,华扬联众全国数据技术中心（HDTC）,2000人以上,2019-09-10 16:39:33,鼓楼区,本科,不需要融资,"数据服务,文娱丨内容",python初级工程师,7k-13k
,北京字节跳动科技有限公司,62,字节跳动,2000人以上,2019-09-22 06:37:29,玄武区,本科,C轮,文娱丨内容,资深Python研发工程师,25k-40k
,孩子王儿童用品股份有限公司,31945,孩子王,2000人以上,2019-09-16 11:00:03,江宁区,本科,C轮,消费生活,高级python开发工程师,18k-36k
['安德门'],南京擎盾信息科技有限公司,149649,南京擎盾,150-500人,2019-09-20 09:13:39,雨花台区,本科,B轮,移动互联网,python后端,8k-16k
"['宁南', '雨花新村']",瞬联软件科技（北京）有限公司,14093,瞬联软件科技（北京）有限公司,500-2000人,2019-09-19 14:46:00,雨花台区,大专,不需要融资,"移动互联网,企业服务",Python自动化测试,10k-17k
,孩子王儿童用品股份有限公司,31945,孩子王,2000人以上,2019-09-16 09:01:46,江宁区,本科,C轮,消费生活,python运维开发工程师,10k-20k
,孩子王儿童用品股份有限公司,31945,孩子王,2000人以上,2019-09-16 10:59:54,江宁区,本科,C轮,消费生活,Python运维开发工程师,15k-30k
,南京贝湾信息科技有限公司,13789,扇贝,150-500人,2019-09-20 13:40:22,玄武区,不限,B轮,"移动互联网,教育",Python课程内容编辑,8k-15k
"['小行', '宁南']",南京泰泽信息技术有限公司,33457,泰泽科技,少于15人,2019-09-10 09:13:49,雨花台区,大专,天使轮,移动互联网,python,10k-15k
"['龙江', '江东']",北京墨云科技有限公司,221192,墨云科技,50-150人,2019-09-16 10:35:11,鼓楼区,本科,B轮,信息安全,python后端开发工程师,15k-30k
"['宁南', '安德门', '铁心桥']",南京赛宁信息技术有限公司,109596,南京赛宁,50-150人,2019-09-20 10:52:43,雨花台区,本科,A轮,信息安全,Python开发工程师,8k-16k
,江苏易启策网络科技有限公司,139829,易启策,少于15人,2019-09-09 16:48:36,秦淮区,本科,不需要融资,"数据服务,消费生活",Python研发工程师,12k-22k
['宁南'],南京佳泰得投资管理有限公司,440083,南京佳泰得投资管理有限公司,少于15人,2019-09-17 13:40:07,雨花台区,本科,天使轮,金融,Python工程师,8k-10k
