businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
['丁字桥'],武汉广陌科技有限公司,766389,广陌科技,少于15人,2019-09-20 14:14:16,洪山区,本科,不需要融资,金融,Python Web 开发工程师,10k-15k
['丁字桥'],武汉广陌科技有限公司,766389,广陌科技,少于15人,2019-09-20 14:08:46,洪山区,本科,不需要融资,金融,Python 后端工程师,10k-15k
"['光谷', '关山']",威讯柏睿数据科技（北京）有限公司,206460,柏睿数据,50-150人,2019-09-20 16:25:08,洪山区,本科,B轮,"数据服务,信息安全",Python开发（应届）,6k-12k
"['关山', '光谷']",武汉市星商电子商务有限公司,564418,星商电子商务,500-2000人,2019-09-21 16:42:28,洪山区,本科,C轮,电商,python开发工程师,8k-15k
,武汉极意网络科技有限公司,7682,极验,50-150人,2019-09-20 18:19:28,东湖新技术开发区,不限,B轮,"信息安全,数据服务",Python（极验验证）,9k-18k
['流芳'],武汉小果科技有限公司,28807,森果,50-150人,2019-09-20 09:11:30,江夏区,本科,天使轮,"移动互联网,企业服务",Python开发工程师,9k-15k
,湖北百旺金赋科技有限公司,103299,百旺金赋,150-500人,2019-09-20 09:40:26,东湖新技术开发区,本科,不需要融资,"移动互联网,其他",python开发,6k-8k
,北京青云科技股份有限公司,31164,青云,150-500人,2019-09-20 09:10:21,东湖新技术开发区,本科,D轮及以上,数据服务,Python工程师,12k-24k
"['关山', '光谷']",智线云科技（北京）有限公司,111175,ZingFront智线,50-150人,2019-09-19 09:09:15,洪山区,本科,A轮,"移动互联网,数据服务",python开发,8k-13k
,武汉烽火普天信息技术有限公司,87751,烽火普天,50-150人,2019-09-18 11:25:13,东湖新技术开发区,本科,A轮,"企业服务,数据服务",python开发工程师,6k-10k
"['光谷', '关山']",北京神州绿盟信息安全科技股份有限公司,30648,绿盟科技,500-2000人,2019-09-16 10:00:31,洪山区,本科,上市公司,信息安全,python开发工程师,15k-25k
,卓尔智联集团有限公司,491975,卓尔智联集团有限公司,2000人以上,2019-09-20 11:16:49,黄陂区,本科,上市公司,"移动互联网,电商",python开发工程师,6k-12k
['南湖'],武汉乐谷在线科技有限公司,129682,乐谷游戏,50-150人,2019-09-18 10:12:11,洪山区,大专,A轮,游戏,Python,5k-10k
,深圳市丰巢科技有限公司,26088,深圳市丰巢科技有限公司,500-2000人,2019-09-16 10:17:24,东湖新技术开发区,本科,A轮,消费生活,Python开发工程师-武汉,10k-20k
,深圳市云间网络科技有限公司,294474,云间网络,50-150人,2019-09-19 09:47:43,东西湖区,大专,不需要融资,"移动互联网,企业服务",python开发工程师(武汉）,6k-8k
,哈尔滨安天科技集团股份有限公司,468506,安天,500-2000人,2019-09-02 10:50:31,东湖新技术开发区,不限,不需要融资,信息安全,Python开发工程师,14k-18k
"['关山', '光谷']",武汉市星商电子商务有限公司,564418,星商电子商务,500-2000人,2019-09-21 16:42:27,洪山区,本科,C轮,电商,Python开发主管,15k-20k
['流芳'],武汉小果科技有限公司,28807,森果,50-150人,2019-09-20 09:11:32,江夏区,本科,天使轮,"移动互联网,企业服务",Python后台,9k-15k
"['鲁巷', '关山', '光谷']",威讯柏睿数据科技（北京）有限公司,206460,柏睿数据,50-150人,2019-09-20 16:25:07,洪山区,本科,B轮,"数据服务,信息安全",高级python后端,12k-24k
"['光谷', '鲁巷', '关山']",深圳市编玩边学教育科技有限公司,110722,编玩边学,150-500人,2019-09-20 18:31:50,洪山区,本科,B轮,"教育,游戏",Python课程设计师,5k-8k
"['光谷', '鲁巷', '关山']",深圳市编玩边学教育科技有限公司,110722,编玩边学,150-500人,2019-09-20 18:31:49,洪山区,本科,B轮,"教育,游戏",Python编程老师,5k-8k
"['关山', '光谷']",智线云科技（北京）有限公司,111175,ZingFront智线,50-150人,2019-09-19 09:09:15,洪山区,本科,A轮,"移动互联网,数据服务",Python爬虫工程师,8k-15k
"['中北路', '东湖路', '东亭']",智慧工匠科技有限公司,296186,智慧工匠,50-150人,2019-09-18 09:44:46,武昌区,本科,未融资,移动互联网,​爬虫软件工程师(python),8k-16k
"['中北路', '东湖路', '东亭']",贵阳高登世德金融科技有限公司,103163,高登世德金融科技,50-150人,2019-09-10 16:34:30,武昌区,本科,A轮,"金融,数据服务",金融数据Python开发工程师（武汉）,8k-15k
['光谷'],武汉飞猫环球商贸有限公司,383005,武汉飞猫环球商贸有限公司,150-500人,2019-09-02 18:28:20,洪山区,本科,未融资,"电商,其他",Python爬虫工程师,6k-12k
,武汉猎鹰网安科技有限公司,556602,猎鹰网安,少于15人,2019-09-09 16:42:17,东湖新技术开发区,不限,天使轮,移动互联网,中级python后端开发,7k-13k
"['光谷', '关山']",威讯柏睿数据科技（北京）有限公司,206460,柏睿数据,50-150人,2019-09-20 16:25:08,洪山区,本科,B轮,"数据服务,信息安全",大数据Java/Python-武汉(实习/应届),6k-12k
,康博嘉信息科技（北京）股份有限公司武汉分公司,268307,康博嘉,150-500人,2019-09-19 13:26:45,东湖新技术开发区,本科,C轮,"移动互联网,医疗丨健康",python开发,5k-6k
"['关山', '光谷']",武汉小安科技有限公司,76383,小安科技,15-50人,2019-09-20 15:53:52,洪山区,不限,天使轮,"移动互联网,硬件",Python高级开发工程师,10k-15k
"['鲁巷', '关山', '光谷']",威讯柏睿数据科技（北京）有限公司,206460,柏睿数据,50-150人,2019-09-20 16:25:07,洪山区,本科,B轮,"数据服务,信息安全",python后端（可应届）,7k-14k
,北京旷视科技有限公司,1561,旷视MEGVII,500-2000人,2019-09-19 16:51:48,东湖新技术开发区,本科,D轮及以上,人工智能,后端开发工程师（Python/GO）-武汉,10k-20k
"['关山', '光谷']",武汉夜莺科技有限公司,81421,武汉夜莺科技有限公司,15-50人,2019-09-19 16:57:01,洪山区,本科,A轮,社交,python后端研发工程师,8k-12k
['南湖'],武汉市惊叹号科技有限公司,144845,Vagary,少于15人,2019-09-11 14:47:01,洪山区,本科,未融资,"硬件,文娱丨内容",Python后端工程师,10k-14k
"['关山', '光谷']",武汉人数科技有限公司,370919,人数科技,少于15人,2019-09-17 11:35:41,洪山区,本科,未融资,企业服务,python后端开发,10k-15k
"['关山', '光谷']",北京云族佳科技有限公司,15507,云沃客,150-500人,2019-09-04 17:41:29,洪山区,大专,A轮,移动互联网,高级Python个工程师,15k-25k
['南湖'],武汉朱雀闻天科技有限公司,330304,朱雀闻天,15-50人,2019-09-18 16:02:34,东湖新技术开发区,本科,未融资,"移动互联网,数据服务",python数据分析,10k-20k
,武汉投知家信息科技有限公司,503890,武汉投知家,15-50人,2019-08-26 18:35:07,东湖新技术开发区,大专,未融资,企业服务,python实习,2k-4k
['流芳'],武汉小果科技有限公司,28807,森果,50-150人,2019-09-20 09:11:32,江夏区,本科,天使轮,"移动互联网,企业服务",Android研发(往python后端培养),8k-14k
,河南省现代农业大数据产业技术研究院有限公司,297094,河南省农业大数据研究院,15-50人,2019-09-11 15:03:29,东湖新技术开发区,本科,B轮,"移动互联网,数据服务",Gis开发工程师（Python方向）,10k-20k
['南湖'],武汉掌中宝网络科技有限公司,224951,武汉掌中宝,150-500人,2019-09-21 09:17:18,洪山区,大专,未融资,"移动互联网,游戏",GO开发工程师,10k-20k
,北京青云科技股份有限公司,31164,青云,150-500人,2019-09-20 09:10:20,东湖新技术开发区,本科,D轮及以上,数据服务,高级go语言开发工程师,10k-18k
,武汉动游科技有限公司,489828,动游科技,15-50人,2019-09-21 13:57:24,东湖新技术开发区,大专,未融资,游戏,大数据开发工程师,13k-15k
,北京青云科技股份有限公司,31164,青云,150-500人,2019-09-20 09:10:21,洪山区,本科,D轮及以上,数据服务,容器研发工程师,10k-15k
